Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG9754,2.7 ± 0.2,3.3 ± 0.2,2.4 ± 0.4,2.5 ± 0.3,2.3 ± 0.1,2.8 ± 0.1,1.9 ± 0.3,2.6 ± 0.3,4.3 ± 1.2,4.1 ± 0.1
CG13871,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,1.3 ± 0.5,2.4 ± 1.3,0.0 ± 0.0,0.1 ± 0.0
CG9492,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.0,0.3 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG34167,2.0 ± 0.0,2.5 ± 0.3,0.0 ± 0.0,1.6 ± 1.3,0.2 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,1.3 ± 1.9,0.1 ± 0.1,0.4 ± 0.2
CG8975,0.7 ± 0.3,1.0 ± 1.0,16 ± 12,3.8 ± 0.3,3.7 ± 0.1,3.2 ± 0.9,12 ± 5.8,12 ± 4.1,41 ± 30,11 ± 2.6
CG32758,25 ± 3.3,26 ± 0.7,10 ± 0.4,9.3 ± 1.4,26 ± 1.6,30 ± 4.4,7.6 ± 2.4,7.8 ± 1.3,9.6 ± 0.4,9.3 ± 0.4
CG45084,0.2 ± 0.2,0.1 ± 0.1,3.1 ± 3.3,0.1 ± 0.2,0.3 ± 0.2,0.0 ± 0.0,1.1 ± 1.5,0.1 ± 0.1,19 ± 17,0.7 ± 0.9
CG9314,0.3 ± 0.1,0.3 ± 0.0,0.8 ± 0.4,5.0 ± 2.6,0.7 ± 0.1,1.0 ± 0.3,0.6 ± 0.1,3.0 ± 3.6,0.4 ± 0.0,1.8 ± 0.7
CG13189,3.0 ± 0.2,2.5 ± 0.2,10 ± 1.8,9.3 ± 2.0,4.9 ± 0.3,4.3 ± 0.2,94 ± 9.7,103 ± 19,7.3 ± 0.5,10 ± 1.0
CG17461,18 ± 3.7,21 ± 0.6,1.1 ± 0.3,1.4 ± 0.2,8.4 ± 0.5,15 ± 3.4,2.0 ± 0.5,2.6 ± 0.8,0.9 ± 0.3,1.2 ± 0.2
CG7148,9.2 ± 0.3,9.6 ± 0.8,10 ± 1.3,13 ± 0.4,6.8 ± 0.1,7.4 ± 0.6,8.2 ± 0.7,7.6 ± 1.8,7.5 ± 0.1,13 ± 1.3
CG13360,7.0 ± 4.9,1.8 ± 1.2,54 ± 7.8,60 ± 12,29 ± 2.6,10 ± 5.5,0.8 ± 0.4,1.5 ± 1.1,2.5 ± 0.3,15 ± 1.2
CG9707,1.1 ± 0.3,1.1 ± 0.2,10 ± 1.7,14 ± 1.9,9.8 ± 0.1,10 ± 0.7,33 ± 3.6,50 ± 7.0,4.0 ± 2.0,4.0 ± 0.2
CG7791,8.1 ± 0.1,8.4 ± 0.1,10 ± 1.7,11 ± 0.1,7.8 ± 0.0,7.6 ± 0.3,4.2 ± 0.6,4.0 ± 1.1,5.7 ± 0.1,8.5 ± 0.3
CG3876,8.1 ± 0.3,7.6 ± 0.3,3.0 ± 0.1,3.4 ± 0.6,7.0 ± 0.1,8.3 ± 0.4,4.3 ± 0.7,3.4 ± 0.5,5.5 ± 0.5,5.3 ± 0.8
CG16886,0.1 ± 0.0,0.0 ± 0.0,0.2 ± 0.0,0.1 ± 0.1,1.9 ± 0.3,2.4 ± 0.8,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1
CG43129,1.5 ± 0.1,1.7 ± 0.1,1.7 ± 0.4,2.0 ± 0.5,0.6 ± 0.1,0.8 ± 0.1,0.4 ± 0.1,0.3 ± 0.2,0.4 ± 0.1,1.0 ± 0.1
CG14821,8.9 ± 0.9,10 ± 0.8,0.4 ± 0.1,0.4 ± 0.1,2.4 ± 0.4,3.0 ± 0.3,0.1 ± 0.1,0.0 ± 0.0,0.2 ± 0.1,0.3 ± 0.0
CG8222,3.3 ± 0.2,2.6 ± 0.1,10 ± 2.3,10 ± 1.1,14 ± 0.5,14 ± 1.2,27 ± 2.2,26 ± 1.8,37 ± 6.6,56 ± 1.8
CG7602,6.4 ± 1.1,6.7 ± 0.4,3.9 ± 0.6,3.3 ± 0.4,4.8 ± 0.5,4.8 ± 0.2,4.0 ± 0.3,3.4 ± 0.7,4.5 ± 1.8,3.5 ± 0.1
CG31048,8.4 ± 1.3,9.4 ± 0.4,4.3 ± 1.0,3.9 ± 0.6,5.0 ± 0.4,6.8 ± 1.3,2.5 ± 0.3,2.4 ± 0.9,4.7 ± 0.5,6.9 ± 0.1
CG10414,2.0 ± 0.1,2.2 ± 0.2,2.3 ± 0.1,1.5 ± 0.2,2.0 ± 0.0,1.9 ± 0.1,1.1 ± 0.1,1.1 ± 0.3,1.5 ± 0.5,1.1 ± 0.0
CG3565,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,2.2 ± 1.8,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.4 ± 1.6,0.1 ± 0.1,0.5 ± 0.4
CG2097,3.5 ± 0.3,3.8 ± 0.4,4.5 ± 0.6,3.8 ± 0.8,3.5 ± 0.1,3.7 ± 0.1,3.3 ± 0.4,3.8 ± 0.2,5.8 ± 0.9,5.7 ± 0.1
CG16952,19 ± 1.6,20 ± 1.4,5.6 ± 0.5,5.0 ± 1.0,11 ± 0.6,13 ± 1.6,4.4 ± 0.8,4.1 ± 0.6,8.9 ± 1.7,8.3 ± 0.3
CG13716,0.4 ± 0.2,0.6 ± 0.2,0.0 ± 0.0,0.2 ± 0.1,0.1 ± 0.2,0.5 ± 0.4,3.4 ± 4.4,3.4 ± 4.1,1.3 ± 1.3,2.0 ± 0.5
CG11722,11 ± 0.6,11 ± 1.3,11 ± 1.7,13 ± 2.5,10 ± 0.3,9.8 ± 0.3,8.8 ± 0.7,8.9 ± 3.5,5.9 ± 1.7,9.0 ± 1.3
CG34301,0.4 ± 0.0,0.2 ± 0.2,0.6 ± 0.2,1.9 ± 1.2,1.2 ± 0.7,1.7 ± 0.1,36 ± 32,16 ± 8.1,1.3 ± 0.3,3.5 ± 0.0
CG44006,0.7 ± 0.1,0.9 ± 0.3,3.1 ± 1.2,5.6 ± 0.7,2.2 ± 0.5,3.4 ± 1.2,0.4 ± 0.2,0.4 ± 0.2,1.4 ± 0.5,1.3 ± 0.0
CG11153,22 ± 4.1,22 ± 1.6,25 ± 4.4,19 ± 1.2,15 ± 0.0,10 ± 1.9,1.8 ± 0.3,1.3 ± 0.4,1.4 ± 0.5,3.6 ± 0.7
CG3758,0.1 ± 0.0,0.1 ± 0.1,0.2 ± 0.1,0.3 ± 0.1,0.3 ± 0.0,0.6 ± 0.0,2.9 ± 0.1,2.5 ± 0.1,0.1 ± 0.1,0.1 ± 0.0
CG32434,12 ± 2.1,13 ± 0.6,8.9 ± 1.6,9.3 ± 1.6,13 ± 0.1,17 ± 3.3,33 ± 1.2,24 ± 3.8,17 ± 1.0,22 ± 1.1
CG9204,12 ± 0.8,12 ± 0.4,16 ± 4.3,12 ± 1.0,15 ± 1.5,13 ± 0.6,20 ± 1.4,20 ± 3.9,22 ± 0.5,28 ± 1.5
CG1925,1.2 ± 0.1,1.6 ± 0.1,1.5 ± 0.2,1.2 ± 0.1,1.0 ± 0.0,1.5 ± 0.0,1.2 ± 0.0,1.3 ± 0.1,1.8 ± 0.6,1.8 ± 0.1
CG33836,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6054,5.2 ± 0.4,5.1 ± 0.2,5.9 ± 0.4,5.4 ± 0.4,8.5 ± 0.5,8.8 ± 0.4,6.4 ± 1.1,5.7 ± 2.0,8.0 ± 1.4,9.0 ± 0.2
CG3034,14 ± 0.5,13 ± 0.8,8.5 ± 1.2,7.5 ± 1.0,13 ± 0.8,13 ± 0.2,11 ± 2.7,11 ± 2.1,11 ± 4.4,8.1 ± 0.4
CG7727,70 ± 12,76 ± 1.4,2.2 ± 1.3,3.4 ± 1.7,31 ± 2.3,42 ± 12,0.2 ± 0.2,0.2 ± 0.2,0.6 ± 0.0,1.5 ± 0.2
CG17404,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6292,4.1 ± 0.7,4.4 ± 0.6,4.0 ± 0.1,3.7 ± 0.2,4.2 ± 0.0,4.8 ± 0.4,5.5 ± 2.5,5.5 ± 2.8,4.8 ± 0.9,5.3 ± 0.5
CG18787,0.9 ± 0.1,0.8 ± 0.1,1.5 ± 0.1,1.5 ± 0.1,1.0 ± 0.1,1.0 ± 0.1,1.5 ± 0.3,1.3 ± 0.3,1.5 ± 0.2,1.5 ± 0.2
CG6225,0.8 ± 0.1,0.6 ± 0.1,6.9 ± 1.9,7.3 ± 1.0,14 ± 1.2,15 ± 1.2,4.4 ± 0.5,3.1 ± 0.5,12 ± 1.2,16 ± 0.0
CG12189,2.4 ± 0.1,2.6 ± 0.1,2.2 ± 0.3,2.1 ± 0.4,2.2 ± 0.2,2.3 ± 0.1,1.5 ± 0.5,1.9 ± 0.5,3.1 ± 0.5,2.8 ± 0.1
CG30376,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,7.2 ± 5.7,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.2,4.7 ± 6.7,0.0 ± 0.0,1.2 ± 0.9
CG10090,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.1 ± 1.2,0.0 ± 0.0,0.1 ± 0.1,0.3 ± 0.6,1.2 ± 1.8,0.0 ± 0.0,0.1 ± 0.2
CG1030,1.0 ± 0.2,1.2 ± 0.2,0.4 ± 0.3,0.6 ± 0.1,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.6 ± 0.0,1.0 ± 0.0
CG7488,6.2 ± 0.8,5.8 ± 0.3,11 ± 1.7,11 ± 2.0,8.2 ± 0.3,7.8 ± 0.1,7.5 ± 1.5,7.0 ± 1.3,5.8 ± 1.1,7.3 ± 1.4
CG1403,9.3 ± 0.5,9.2 ± 0.4,8.7 ± 1.6,6.8 ± 0.7,8.6 ± 0.5,9.6 ± 0.9,18 ± 1.9,15 ± 1.4,16 ± 5.3,14 ± 0.4
CG18659,9.7 ± 0.1,9.7 ± 0.2,7.9 ± 1.5,7.9 ± 0.3,7.7 ± 0.1,7.8 ± 1.6,9.8 ± 0.1,9.2 ± 1.8,8.6 ± 0.1,12 ± 0.7
CG11416,1.5 ± 0.2,1.6 ± 0.1,2.7 ± 0.9,1.9 ± 0.5,1.6 ± 0.0,1.4 ± 0.1,2.7 ± 0.1,2.5 ± 0.6,3.2 ± 1.7,2.0 ± 0.0
CG9781,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG6052,1.3 ± 0.2,1.5 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.2 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG32817,2.4 ± 0.4,2.4 ± 0.2,0.8 ± 0.3,1.6 ± 0.5,2.4 ± 0.7,3.1 ± 0.5,0.2 ± 0.2,0.9 ± 0.2,0.5 ± 0.0,1.1 ± 0.3
CG9236,0.2 ± 0.1,0.4 ± 0.1,0.1 ± 0.1,0.2 ± 0.2,0.4 ± 0.1,0.9 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0
CG4871,9.3 ± 0.7,7.7 ± 0.7,0.2 ± 0.1,0.2 ± 0.0,1.6 ± 0.2,1.4 ± 0.4,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0
CG2975,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.0,0.8 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.7 ± 0.1,0.7 ± 0.1
CG3847,6.6 ± 0.4,7.3 ± 0.6,8.1 ± 0.7,6.9 ± 0.9,6.6 ± 0.1,6.4 ± 0.1,9.4 ± 0.2,6.8 ± 2.7,9.0 ± 2.4,8.4 ± 0.2
CG18273,2.8 ± 0.3,3.6 ± 0.1,6.8 ± 1.8,2.7 ± 0.6,4.3 ± 0.1,3.8 ± 0.4,5.3 ± 0.6,4.6 ± 0.5,7.8 ± 0.6,6.1 ± 0.3
CG17110,0.7 ± 0.2,1.0 ± 0.0,0.5 ± 0.0,0.7 ± 0.5,0.4 ± 0.0,0.5 ± 0.2,93 ± 14,91 ± 7.1,0.0 ± 0.0,0.2 ± 0.0
CG6070,2.6 ± 0.3,2.7 ± 0.2,2.1 ± 0.5,1.2 ± 0.4,10 ± 1.3,12 ± 4.4,0.3 ± 0.2,0.6 ± 0.4,2.3 ± 0.9,1.2 ± 0.4
CG31081,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.2,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG3363,5.1 ± 0.4,6.0 ± 0.3,2.5 ± 0.5,1.9 ± 0.3,2.9 ± 0.0,3.7 ± 0.6,2.1 ± 0.3,2.1 ± 0.3,3.2 ± 0.6,2.8 ± 0.0
CG43726,0.4 ± 0.0,0.5 ± 0.1,1.2 ± 0.7,0.2 ± 0.2,1.1 ± 0.0,2.1 ± 0.6,0.3 ± 0.1,0.3 ± 0.0,1.2 ± 0.7,0.3 ± 0.1
CG17320,9.1 ± 0.8,8.6 ± 0.6,33 ± 10,44 ± 4.3,26 ± 1.2,28 ± 4.0,27 ± 3.5,35 ± 6.4,13 ± 1.2,22 ± 2.0
CG9805,20 ± 0.6,20 ± 1.2,44 ± 0.9,28 ± 2.3,39 ± 3.0,33 ± 2.7,37 ± 5.5,32 ± 4.7,46 ± 2.7,46 ± 1.9
CG2046,7.3 ± 0.4,7.5 ± 0.8,45 ± 4.9,56 ± 4.6,10 ± 0.3,10 ± 0.4,14 ± 1.9,14 ± 2.3,11 ± 5.4,11 ± 0.4
CG10710,0.2 ± 0.0,0.2 ± 0.0,0.3 ± 0.1,0.3 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.1 ± 0.0
CG6249,5.3 ± 0.7,5.1 ± 0.5,7.4 ± 1.7,3.5 ± 0.4,4.4 ± 0.6,2.3 ± 0.1,4.3 ± 1.5,2.9 ± 1.3,5.0 ± 2.0,3.0 ± 0.6
CG3995,5.7 ± 0.1,6.0 ± 0.2,4.0 ± 0.6,3.6 ± 0.6,4.2 ± 0.3,3.7 ± 0.3,2.6 ± 0.0,2.5 ± 0.4,3.8 ± 1.0,3.1 ± 0.3
CG6392,0.1 ± 0.0,0.1 ± 0.1,1.0 ± 1.0,0.4 ± 0.2,0.1 ± 0.0,0.0 ± 0.0,0.3 ± 0.4,0.3 ± 0.5,3.0 ± 2.7,0.3 ± 0.2
CG4394,0.1 ± 0.0,0.0 ± 0.0,1.1 ± 0.3,0.9 ± 0.3,0.2 ± 0.0,0.2 ± 0.0,25 ± 0.6,21 ± 2.2,0.4 ± 0.1,1.0 ± 0.3
CG30148,0.7 ± 0.5,0.1 ± 0.1,14 ± 3.7,6.0 ± 2.3,14 ± 0.9,4.4 ± 3.0,0.1 ± 0.1,0.4 ± 0.2,1.1 ± 0.7,1.9 ± 0.3
CG32170,0.1 ± 0.0,0.1 ± 0.0,2.5 ± 1.0,2.4 ± 0.3,0.8 ± 0.1,0.8 ± 0.0,0.4 ± 0.1,0.2 ± 0.0,0.7 ± 0.2,1.4 ± 0.0
CG18335,0.4 ± 0.1,0.5 ± 0.1,0.2 ± 0.1,2.5 ± 1.6,0.2 ± 0.0,0.4 ± 0.0,0.2 ± 0.1,2.2 ± 2.6,0.2 ± 0.2,0.9 ± 0.7
CG12770,15 ± 1.6,14 ± 0.4,23 ± 9.0,24 ± 6.7,33 ± 0.4,32 ± 0.4,26 ± 4.9,26 ± 7.7,16 ± 0.4,27 ± 1.7
CG17906,0.4 ± 0.0,0.5 ± 0.1,0.3 ± 0.1,0.2 ± 0.2,0.2 ± 0.0,0.2 ± 0.0,0.1 ± 0.1,0.3 ± 0.1,0.3 ± 0.1,0.3 ± 0.1
CG34266,1.3 ± 0.3,2.0 ± 0.3,0.0 ± 0.0,0.0 ± 0.1,0.1 ± 0.1,0.5 ± 0.2,0.1 ± 0.1,0.8 ± 0.7,0.4 ± 0.0,1.0 ± 0.3
CG32829,0.3 ± 0.1,0.3 ± 0.0,0.2 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.1 ± 0.1,0.0 ± 0.1,0.1 ± 0.0,0.0 ± 0.0
CG15930,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.2 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG2930,1.3 ± 0.1,1.3 ± 0.1,8.5 ± 3.2,9.8 ± 3.0,2.9 ± 0.2,4.6 ± 0.0,153 ± 29,103 ± 18,2.4 ± 1.3,5.3 ± 0.6
CG7823,105 ± 5.8,104 ± 4.0,39 ± 0.7,41 ± 4.3,219 ± 5.0,268 ± 5.7,70 ± 7.7,73 ± 9.6,122 ± 19,129 ± 6.6
CG7593,2.0 ± 0.5,1.9 ± 0.2,3.0 ± 0.7,2.5 ± 0.6,4.2 ± 1.1,3.9 ± 0.2,2.6 ± 0.2,2.6 ± 1.3,4.6 ± 2.6,2.8 ± 0.6
CG5154,1.6 ± 1.0,0.6 ± 0.1,43 ± 5.9,43 ± 7.4,39 ± 2.7,28 ± 11,1.3 ± 0.1,1.1 ± 0.6,1.3 ± 0.3,4.2 ± 0.3
CG6061,5.1 ± 0.6,5.1 ± 0.4,3.6 ± 0.6,2.4 ± 0.2,3.4 ± 0.1,3.4 ± 0.4,2.5 ± 0.6,2.5 ± 0.4,6.1 ± 1.8,5.1 ± 0.1
CG1803,58 ± 27,22 ± 5.2,128 ± 45,178 ± 27,124 ± 3.4,95 ± 27,56 ± 8.0,92 ± 29,69 ± 0.6,140 ± 5.9
CG8384,15 ± 2.0,16 ± 0.6,10 ± 0.8,7.9 ± 0.8,9.4 ± 0.5,10 ± 1.1,13 ± 1.7,13 ± 1.1,11 ± 2.8,11 ± 0.4
CG33898,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG4025,9.2 ± 0.7,9.9 ± 0.7,15 ± 3.2,13 ± 0.6,18 ± 1.4,20 ± 0.6,21 ± 2.9,16 ± 3.3,7.9 ± 0.2,11 ± 2.0
CG13340,0.1 ± 0.0,0.2 ± 0.1,0.0 ± 0.0,19 ± 13,0.0 ± 0.0,0.8 ± 0.2,0.3 ± 0.5,14 ± 21,0.1 ± 0.1,5.1 ± 2.8
CG14468,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,1.0 ± 0.8,0.2 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.7 ± 0.9,0.0 ± 0.0,0.1 ± 0.1
CG31774,7.2 ± 1.2,8.2 ± 0.2,0.2 ± 0.1,0.2 ± 0.1,2.0 ± 0.1,2.8 ± 0.5,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.0
CG34387,26 ± 3.8,37 ± 1.8,1.4 ± 1.2,2.5 ± 1.4,18 ± 1.2,33 ± 9.4,0.1 ± 0.1,0.1 ± 0.0,0.6 ± 0.1,2.0 ± 0.2
CG7351,4.3 ± 0.3,3.9 ± 0.1,5.0 ± 0.8,4.4 ± 0.4,5.3 ± 0.1,5.7 ± 0.9,3.3 ± 1.1,3.9 ± 1.6,5.9 ± 2.1,5.9 ± 0.7
CG5288,9.2 ± 2.1,7.9 ± 1.2,143 ± 53,191 ± 36,67 ± 1.4,69 ± 27,149 ± 38,245 ± 73,32 ± 4.6,51 ± 2.4
CG34058,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.2 ± 0.1,0.3 ± 0.2,0.1 ± 0.0,0.0 ± 0.1
CG9648,13 ± 1.4,13 ± 0.4,14 ± 1.9,14 ± 2.1,12 ± 0.5,11 ± 0.0,14 ± 2.1,11 ± 1.3,15 ± 1.6,18 ± 0.7
CG11471,11 ± 0.5,11 ± 0.5,31 ± 1.6,18 ± 1.9,25 ± 0.6,22 ± 3.5,31 ± 3.4,23 ± 2.0,37 ± 2.6,30 ± 0.2
CG10309,1.7 ± 0.2,2.0 ± 0.2,1.2 ± 0.4,0.6 ± 0.2,1.0 ± 0.0,0.9 ± 0.1,1.4 ± 0.5,0.8 ± 0.1,1.7 ± 0.9,1.2 ± 0.2
CG2863,3.8 ± 0.7,3.6 ± 0.1,7.9 ± 0.3,3.7 ± 0.1,5.4 ± 0.1,4.0 ± 0.2,6.3 ± 0.2,4.4 ± 1.1,5.9 ± 0.1,6.4 ± 0.6
CG6768,0.6 ± 0.0,0.7 ± 0.0,2.1 ± 1.7,1.2 ± 0.5,1.0 ± 0.1,0.9 ± 0.2,0.7 ± 0.3,0.5 ± 0.2,2.2 ± 1.6,0.6 ± 0.1
CG3285,0.0 ± 0.0,0.0 ± 0.0,2.7 ± 1.8,3.0 ± 2.7,0.0 ± 0.0,0.0 ± 0.0,334 ± 17,404 ± 78,0.0 ± 0.0,1.0 ± 0.6
CG34012,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.1,1.0 ± 1.2,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.7,1.0 ± 1.5,0.0 ± 0.0,0.2 ± 0.1
CG10993,0.6 ± 0.2,0.8 ± 0.0,0.1 ± 0.0,0.4 ± 0.4,0.3 ± 0.2,0.5 ± 0.2,0.2 ± 0.2,0.1 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
CG31152,0.9 ± 0.1,0.9 ± 0.1,2.5 ± 0.5,1.8 ± 0.2,2.2 ± 0.0,2.2 ± 0.1,1.1 ± 0.4,0.7 ± 0.3,3.7 ± 1.0,3.1 ± 0.2
CG18444,2.4 ± 1.9,6.9 ± 6.2,609 ± 329,440 ± 23,40 ± 37,12 ± 12,13 ± 2.1,120 ± 135,157 ± 164,472 ± 192
CG3653,11 ± 2.1,11 ± 0.7,1.0 ± 0.3,1.1 ± 0.2,4.3 ± 0.1,6.2 ± 0.9,0.2 ± 0.0,0.2 ± 0.0,0.5 ± 0.0,0.8 ± 0.2
CG15797,6.6 ± 0.3,6.1 ± 0.1,4.1 ± 0.3,3.0 ± 0.2,8.9 ± 0.5,10 ± 1.3,6.2 ± 1.4,4.6 ± 0.8,5.4 ± 1.2,4.7 ± 0.0
CG6329,176 ± 38,203 ± 15,8.5 ± 4.3,15 ± 4.4,72 ± 10,111 ± 12,0.2 ± 0.2,0.2 ± 0.1,2.0 ± 0.5,3.9 ± 0.2
CG1275,65 ± 0.2,68 ± 2.6,26 ± 2.4,34 ± 3.1,23 ± 0.2,23 ± 6.6,93 ± 6.7,80 ± 13,24 ± 1.1,37 ± 1.2
CG9990,1.6 ± 0.5,1.0 ± 0.1,23 ± 3.6,35 ± 4.7,57 ± 3.7,70 ± 5.2,3.9 ± 0.5,1.8 ± 0.6,7.7 ± 3.4,9.9 ± 0.5
CG2948,5.5 ± 0.1,5.8 ± 0.3,4.5 ± 0.5,5.5 ± 1.1,4.7 ± 0.5,5.0 ± 0.4,4.9 ± 0.2,4.6 ± 0.6,4.8 ± 1.4,7.5 ± 0.3
CG8544,15 ± 2.9,14 ± 0.8,7.5 ± 1.0,6.9 ± 1.1,8.4 ± 0.4,11 ± 1.6,10 ± 1.5,8.4 ± 1.4,15 ± 3.0,14 ± 1.0
CG44385,1.1 ± 0.2,0.9 ± 0.1,0.4 ± 0.1,0.6 ± 0.1,0.5 ± 0.0,0.6 ± 0.1,0.5 ± 0.0,0.5 ± 0.2,0.7 ± 0.1,1.0 ± 0.3
CG30189,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG9503,0.3 ± 0.1,0.3 ± 0.1,0.3 ± 0.1,0.1 ± 0.1,0.2 ± 0.0,0.2 ± 0.0,0.3 ± 0.4,0.2 ± 0.2,0.5 ± 0.1,0.2 ± 0.1
CG6717,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,4.0 ± 2.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.1,0.2 ± 0.1
CG1244,15 ± 1.3,16 ± 0.6,8.7 ± 1.2,6.8 ± 0.6,9.2 ± 0.7,11 ± 0.4,9.0 ± 0.6,9.1 ± 1.2,12 ± 2.9,11 ± 0.2
CG12182,3.5 ± 0.6,4.0 ± 0.4,1.6 ± 0.1,1.7 ± 0.2,2.0 ± 0.1,1.8 ± 0.4,0.8 ± 0.3,1.4 ± 0.5,1.2 ± 0.0,1.3 ± 0.0
CG2043,0.1 ± 0.1,0.1 ± 0.1,0.6 ± 0.8,0.2 ± 0.1,0.2 ± 0.1,0.3 ± 0.1,0.2 ± 0.3,0.2 ± 0.3,0.0 ± 0.0,0.0 ± 0.0
CG5886,3.6 ± 0.1,3.8 ± 0.3,2.7 ± 0.4,2.9 ± 0.4,2.3 ± 0.2,2.4 ± 0.3,1.5 ± 0.6,2.2 ± 0.8,4.9 ± 2.5,3.2 ± 0.4
CG10704,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.1,0.6 ± 0.3,2.9 ± 0.0,3.0 ± 0.7,0.0 ± 0.0,0.0 ± 0.0,7.7 ± 1.5,16 ± 1.1
CG34148,14 ± 0.6,15 ± 1.4,9.0 ± 0.7,13 ± 0.9,12 ± 0.0,9.6 ± 0.4,8.9 ± 0.9,13 ± 3.4,5.2 ± 0.5,7.6 ± 0.3
CG17662,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.3 ± 0.3,0.3 ± 0.2,0.0 ± 0.0,0.0 ± 0.0
CG9380,1.2 ± 0.2,1.4 ± 0.1,3.9 ± 2.1,4.6 ± 1.6,0.4 ± 0.1,0.4 ± 0.1,130 ± 10,122 ± 4.2,1.0 ± 0.4,2.9 ± 0.1
CG3962,4.7 ± 0.6,5.3 ± 0.0,6.4 ± 1.0,11 ± 5.0,5.2 ± 0.1,6.7 ± 0.7,10 ± 2.1,11 ± 2.4,3.1 ± 0.2,3.8 ± 0.7
CG43395,18 ± 2.7,N.A.,0.4 ± 0.3,0.6 ± 0.3,3.7 ± 0.2,4.6 ± 0.9,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.3 ± 0.0
