Annotation Symbol,Brain_female,Brain_male,Carcass_female,Carcass_male,Eye_female,Eye_male,MTube_fem,MTube_male,SGland_female,SGland_male
CG13404,21 ± 2.8,17 ± 0.5,9.2 ± 1.4,9.8 ± 1.8,16 ± 0.5,16 ± 1.0,0.1 ± 0.1,0.1 ± 0.2,0.5 ± 0.1,2.0 ± 0.2
CG5630,2.4 ± 0.5,2.2 ± 0.4,17 ± 3.8,16 ± 0.7,8.3 ± 0.4,9.8 ± 0.5,23 ± 4.2,20 ± 2.9,223 ± 47,261 ± 26
CG13001,6.5 ± 0.4,6.0 ± 0.5,1.2 ± 0.0,0.8 ± 0.0,2.1 ± 0.2,2.2 ± 0.1,1.5 ± 0.7,1.0 ± 0.3,1.7 ± 0.6,1.1 ± 0.1
CG10489,0.0 ± 0.0,0.0 ± 0.0,1.4 ± 1.1,0.2 ± 0.1,0.3 ± 0.2,0.3 ± 0.1,0.3 ± 0.4,0.0 ± 0.1,3.6 ± 3.0,0.2 ± 0.2
CG11504,4.1 ± 0.2,4.0 ± 0.3,2.3 ± 0.1,1.7 ± 0.0,2.6 ± 0.1,2.4 ± 0.2,2.4 ± 0.6,2.3 ± 0.6,2.1 ± 0.8,1.9 ± 0.0
CG5214,29 ± 0.3,37 ± 1.4,92 ± 3.8,123 ± 2.9,57 ± 2.4,59 ± 2.3,73 ± 8.0,68 ± 15,54 ± 3.5,101 ± 2.0
CG32029,0.1 ± 0.1,0.1 ± 0.0,4.3 ± 2.5,4.1 ± 0.9,1.3 ± 0.1,1.4 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.4 ± 0.0,0.8 ± 0.2
CG17322,1.5 ± 0.8,1.2 ± 0.2,16 ± 4.3,25 ± 2.1,23 ± 0.2,21 ± 4.2,16 ± 2.2,13 ± 1.6,9.8 ± 2.2,15 ± 0.8
CG10305,336 ± 63,272 ± 13,1105 ± 267,666 ± 152,1173 ± 34,641 ± 39,925 ± 62,651 ± 150,721 ± 40,1045 ± 88
CG13711,0.1 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.1 ± 0.1,0.4 ± 0.1,0.8 ± 0.4,0.1 ± 0.1,0.1 ± 0.1,0.3 ± 0.1,0.2 ± 0.2
CG14670,7.5 ± 1.0,8.2 ± 0.5,4.8 ± 0.1,5.0 ± 0.9,5.1 ± 0.9,6.5 ± 1.0,3.2 ± 0.4,3.0 ± 0.1,3.0 ± 1.0,3.3 ± 0.2
CG1520,7.5 ± 1.1,7.8 ± 0.6,3.2 ± 0.3,3.0 ± 0.4,8.8 ± 0.7,12 ± 1.6,11 ± 2.2,9.2 ± 1.8,4.5 ± 0.2,6.6 ± 0.4
CG42612,22 ± 2.1,25 ± 0.4,19 ± 6.2,25 ± 4.5,10 ± 0.7,14 ± 0.3,0.7 ± 0.1,1.2 ± 0.2,3.1 ± 1.3,8.8 ± 1.1
CG10475,0.1 ± 0.1,0.2 ± 0.0,3.5 ± 3.5,17 ± 6.0,0.1 ± 0.1,0.2 ± 0.1,0.0 ± 0.0,6.5 ± 6.7,1.0 ± 0.5,0.8 ± 0.7
CG8241,4.6 ± 0.2,5.0 ± 0.3,3.7 ± 0.6,2.5 ± 0.4,4.0 ± 0.1,4.6 ± 0.4,3.3 ± 0.3,3.0 ± 0.4,5.3 ± 2.3,4.1 ± 0.4
CG1728,29 ± 1.7,26 ± 1.2,39 ± 2.1,35 ± 5.6,24 ± 1.5,20 ± 2.7,35 ± 2.1,27 ± 2.5,23 ± 7.1,30 ± 0.5
CG42340,8.4 ± 1.2,8.8 ± 0.3,0.4 ± 0.2,0.5 ± 0.2,2.0 ± 0.2,2.4 ± 0.2,0.6 ± 0.3,0.4 ± 0.1,0.2 ± 0.0,0.3 ± 0.0
CG32069,18 ± 3.4,15 ± 2.5,22 ± 1.1,30 ± 1.4,36 ± 0.1,31 ± 6.6,33 ± 17,29 ± 19,58 ± 6.6,54 ± 0.1
CG32557,0.2 ± 0.3,0.1 ± 0.1,2.5 ± 1.8,1.5 ± 1.4,0.3 ± 0.2,0.0 ± 0.0,0.1 ± 0.1,0.1 ± 0.0,0.0 ± 0.0,4.4 ± 3.9
CG32701,27 ± 2.9,23 ± 2.9,49 ± 14,32 ± 3.7,59 ± 0.9,35 ± 3.4,33 ± 3.1,30 ± 7.8,84 ± 2.2,71 ± 4.0
CG2790,6.9 ± 0.3,7.3 ± 0.1,10 ± 0.1,9.0 ± 0.9,5.4 ± 0.7,5.0 ± 0.4,5.8 ± 0.3,5.6 ± 0.4,6.8 ± 0.6,7.5 ± 0.4
CG10794,32 ± 33,1.5 ± 0.7,243 ± 142,22 ± 20,827 ± 113,58 ± 52,11 ± 13,2.3 ± 2.7,9.7 ± 0.1,9.0 ± 2.4
CG1770,17 ± 2.4,16 ± 1.1,8.4 ± 0.5,7.2 ± 1.1,11 ± 0.4,12 ± 1.5,6.3 ± 0.4,5.4 ± 0.7,6.5 ± 0.9,6.8 ± 0.4
CG32221,6.9 ± 0.3,7.3 ± 0.9,6.7 ± 0.5,7.6 ± 0.2,12 ± 0.5,13 ± 0.2,7.5 ± 1.7,7.3 ± 1.7,7.1 ± 1.4,8.6 ± 0.9
CG9032,183 ± 32,169 ± 33,597 ± 47,712 ± 136,441 ± 13,373 ± 26,606 ± 415,409 ± 198,236 ± 23,381 ± 1.0
CG7214,0.1 ± 0.1,0.2 ± 0.2,10 ± 16,2.4 ± 0.5,1.0 ± 0.5,0.8 ± 0.1,0.0 ± 0.0,0.1 ± 0.1,0.2 ± 0.1,0.4 ± 0.0
CG2152,11 ± 1.2,12 ± 0.4,31 ± 6.7,36 ± 4.9,28 ± 1.0,30 ± 1.5,18 ± 3.6,20 ± 3.3,12 ± 0.6,25 ± 0.7
CG13488,0.4 ± 0.3,0.1 ± 0.0,0.8 ± 0.2,0.6 ± 0.4,0.5 ± 0.4,0.1 ± 0.2,0.5 ± 0.5,0.3 ± 0.1,0.0 ± 0.0,0.3 ± 0.1
CG34089,12 ± 6.5,17 ± 7.4,13 ± 1.4,25 ± 7.8,7.3 ± 1.7,2.7 ± 1.3,59 ± 88,44 ± 54,9.6 ± 5.9,13 ± 3.8
CG9359,0.8 ± 0.1,0.9 ± 0.2,0.0 ± 0.0,11 ± 8.4,0.2 ± 0.1,0.5 ± 0.1,0.2 ± 0.4,9.7 ± 14,0.0 ± 0.0,3.0 ± 1.2
CG13223,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.1,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.1,0.0 ± 0.0,0.0 ± 0.0
CG3726,7.1 ± 0.4,7.9 ± 0.3,3.9 ± 0.3,2.7 ± 0.0,4.6 ± 0.1,3.8 ± 0.0,4.3 ± 0.2,4.6 ± 0.5,1.6 ± 0.9,1.7 ± 0.2
CG5071,4.9 ± 0.9,5.2 ± 0.6,1.2 ± 0.8,1.9 ± 0.3,1.0 ± 0.3,1.6 ± 0.5,0.6 ± 0.1,0.8 ± 0.6,0.5 ± 0.0,1.1 ± 0.0
CG11081,76 ± 11,77 ± 1.8,34 ± 2.3,34 ± 3.4,40 ± 0.8,47 ± 5.3,47 ± 3.7,50 ± 6.8,40 ± 0.8,38 ± 2.5
CG8644,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.1 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG5232,3.1 ± 0.5,3.5 ± 0.1,0.3 ± 0.2,0.5 ± 0.1,0.6 ± 0.2,0.7 ± 0.0,0.1 ± 0.0,0.2 ± 0.3,0.1 ± 0.0,0.3 ± 0.1
CG31659,0.4 ± 0.1,0.4 ± 0.1,0.2 ± 0.1,7.2 ± 3.5,0.0 ± 0.0,0.0 ± 0.0,0.8 ± 0.4,1.2 ± 0.7,18 ± 4.4,5.4 ± 0.2
CG40041,23 ± 0.8,22 ± 0.1,3.3 ± 1.2,4.9 ± 1.2,2.5 ± 0.4,3.2 ± 0.1,0.6 ± 0.5,0.7 ± 0.4,1.1 ± 0.2,1.7 ± 0.1
CG6860,14 ± 2.1,16 ± 0.9,3.5 ± 0.6,2.9 ± 0.6,8.9 ± 1.0,13 ± 2.3,2.7 ± 0.6,3.0 ± 1.3,4.2 ± 1.6,3.7 ± 0.5
CG14778,1.5 ± 0.2,2.0 ± 0.2,4.8 ± 1.3,11 ± 1.1,1.5 ± 0.0,1.6 ± 0.1,3.6 ± 0.3,8.7 ± 1.8,0.9 ± 0.2,2.8 ± 1.1
CG1677,12 ± 1.4,12 ± 0.3,8.1 ± 0.9,5.9 ± 1.0,10 ± 1.1,11 ± 1.2,8.7 ± 1.2,6.5 ± 1.0,12 ± 4.3,9.1 ± 0.7
CG5108,17 ± 0.2,18 ± 1.1,38 ± 4.1,51 ± 10,15 ± 0.3,13 ± 0.1,26 ± 2.0,28 ± 3.1,19 ± 2.8,26 ± 0.5
CG40218,87 ± 5.8,76 ± 2.4,78 ± 11,97 ± 17,59 ± 5.9,58 ± 4.6,78 ± 8.8,72 ± 9.2,79 ± 2.7,87 ± 2.4
CG33904,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
CG11323,0.5 ± 0.1,0.6 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0,0.0 ± 0.0
